;0;1
123;http://www.journaldelenvironnement.net/article/tgap-sacs-plastiques-le-decret-d-application-en-cours-de-preparation,50514;2014/09/30
124;http://www.journaldelenvironnement.net/article/des-micro-plastiques-les-poissons-en-ont-plein-les-branchies,48493;2014/07/23
125;http://www.journaldelenvironnement.net/article/ue-les-ministres-ciblent-les-navires-les-sacs-en-plastique-et-les-chaudieres,53579;2014/12/17
126;http://www.journaldelenvironnement.net/article/5-000-milliards-de-debris-plastique-sur-les-oceans,53356;2014/11/12
127;http://www.journaldelenvironnement.net/article/plastiques-vegetaux-et-plastiques-biodegradables-preconisations-de-l-ademe,29056;2012/05/17
128;http://www.journaldelenvironnement.net/article/plastiques-la-pollution-marine-coute-au-moins-10-md,47376;2014/06/23
129;http://www.journaldelenvironnement.net/article/vehicules-par-les-insectes-les-microplastiques-contaminent-aussi-l-air,93700;2018/09/20
130;http://www.journaldelenvironnement.net/article/micro-plastiques-une-pollution-generalisee-a-la-surface-des-oceans,47764;2014/01/07
131;http://www.journaldelenvironnement.net/article/le-royaume-uni-avocat-des-sacs-en-plastique,52213;2014/11/13
132;http://www.journaldelenvironnement.net/article/accord-europeen-sur-la-disparition-des-sacs-en-plastique-legers,52606;2014/11/21
133;http://www.journaldelenvironnement.net/article/exclusion-des-boues-d-epuration-de-la-sortie-du-statut-de-dechet-precisions-du-ministere-de-l-agriculture,96061;2019/08/02
134;http://www.journaldelenvironnement.net/article/en-fondant-la-banquise-pourrait-liberer-des-plastiques,46411;2014/05/23
135;http://www.journaldelenvironnement.net/article/du-plastique-dans-la-biere,49785;2014/10/09
136;http://www.journaldelenvironnement.net/article/hidalgo-veut-anticiper-l-interdiction-des-sacs-en-plastique,50628;2014/01/10
137;http://www.journaldelenvironnement.net/article/les-lentilles-de-contact-aussi-polluent-les-oceans,93340;2018/08/29
138;http://www.journaldelenvironnement.net/article/les-sacs-en-plastique-desertent-la-californie,49499;2014/01/09
139;http://www.journaldelenvironnement.net/article/le-gouverneur-de-californie-supprime-les-sacs-en-plastique,49679;2014/05/09
140;http://www.journaldelenvironnement.net/article/reduction-de-l-utilisation-des-sacs-en-plastique-avis-du-cese-sur-la-proposition-de-directive,48067;2014/10/07
141;http://www.journaldelenvironnement.net/article/un-nouveau-contrat-de-filiere-dedie-a-la-valorisation-des-dechets,95761;2019/01/21
142;http://www.journaldelenvironnement.net/article/publication-de-lignes-directrices-concernant-les-materiaux-et-objets-en-matiere-plastique,47274;2014/06/19
143;http://www.journaldelenvironnement.net/article/plastiques-biodegradables-publication-d-une-fiche-technique-de-l-ademe,42070;2014/01/23
144;http://www.journaldelenvironnement.net/article/vers-une-reglementation-europeenne-specifique-aux-dechets-plastiques,41776;2014/01/16
145;http://www.journaldelenvironnement.net/article/sacs-plastique-segolene-royal-communique-plus-vite-que-son-ombre,47601;2014/06/26
