;0
108;https://www.lemonde.fr/impact-journalism-day/article/2014/09/22/l-ocean-nettoye-a-la-volonte_4492103_3432283.html?xtmc=plastique_ocean&xtcr=33
109;https://www.lemonde.fr/archives/article/2002/08/07/les-adresses_4259138_1819218.html?xtmc=plastique_ocean&xtcr=147
110;https://www.lemonde.fr/archives/article/1993/06/12/yemen-cafe-contre-kat_3947602_1819218.html?xtmc=plastique_ocean&xtcr=510
111;https://www.lemonde.fr/archives/article/1994/09/03/cuba-l-adieu-aux-fils_3812602_1819218.html?xtmc=plastique_ocean&xtcr=205
112;https://www.lemonde.fr/le-monde-2/article/2009/01/06/benicio-del-toro-le-jeu-de-la-mort_1136551_1004868.html?xtmc=plastique_ocean&xtcr=530
113;https://www.lemonde.fr/archives/article/1993/08/10/l-ete-festival-tristan-envoute-bayreuth-la-mise-en-scene-de-tristan-et-isolde-par-heiner-muller-triomphe-dans-la-ville-de-wagner_3942500_1819218.html?xtmc=plastique_ocean&xtcr=371
114;https://www.lemonde.fr/archives/article/2000/06/11/philippe-monnet-estime-avoir-atteint-son-everest-de-marin_3717679_1819218.html?xtmc=plastique_ocean&xtcr=405
115;https://www.lemonde.fr/international/article/2019/01/18/afrique-du-sud-terres-blanches-espoirs-noirs_5411031_3210.html?xtmc=plastique_ocean&xtcr=542
116;https://www.lemonde.fr/archives/article/1993/12/29/images-laver-le-grand-bleu_3972780_1819218.html?xtmc=plastique_ocean&xtcr=92
117;https://www.lemonde.fr/archives/article/2000/07/29/des-centaines-de-clandestins-rejoignent-les-canaries-dans-des-embarcations-de-fortune_3714243_1819218.html?xtmc=plastique_ocean&xtcr=352
118;https://www.lemonde.fr/archives/article/1998/11/18/le-suicide-des-baleines-demeure-une-enigme_3696398_1819218.html?xtmc=plastique_ocean&xtcr=376
119;https://www.lemonde.fr/archives/article/2001/03/14/fernando-savater-ou-le-courage-en-solitaire_161951_1819218.html?xtmc=plastique_ocean&xtcr=494
120;https://www.lemonde.fr/archives/article/1978/12/23/voyage-au-bout-de-l-exotisme_2984438_1819218.html?xtmc=plastique_ocean&xtcr=473
121;https://www.lemonde.fr/culture/article/2013/06/21/kanye-west-livre-un-album-taille-a-l-os_3434004_3246.html?xtmc=plastique_ocean&xtcr=291
122;https://www.lemonde.fr/archives/article/2003/03/19/la-guerre-en-irak-heure-par-heure-archives_313411_1819218.html?xtmc=plastique_ocean&xtcr=547
123;https://www.lemonde.fr/arts/article/2017/08/18/gabriele-galimberti-profession-monte-en-l-air_5173979_1655012.html?xtmc=plastique_ocean&xtcr=224
124;https://www.lemonde.fr/archives/article/2000/10/18/chronique-de-l-amerique-en-campagne_3716756_1819218.html?xtmc=plastique_ocean&xtcr=545
125;https://www.lemonde.fr/voyage/article/2006/05/01/le-perigord-noir-au-fil-de-la-vezere_1338210_3546.html?xtmc=plastique_ocean&xtcr=475
126;https://www.lemonde.fr/archives/article/1965/05/24/de-nombreux-amateurs-souhaitent-des-bateaux-plus-debonnaires-que-sportifs_2170216_1819218.html?xtmc=plastique_ocean&xtcr=166
127;https://www.lemonde.fr/archives/article/2000/12/27/coupe-de-l-america-2002-dix-defis-sont-deja-sur-les-rangs_3709198_1819218.html?xtmc=plastique_ocean&xtcr=305
128;https://www.lemonde.fr/archives/article/1974/06/28/la-reponse-de-m-roger-caillois_2540774_1819218.html?xtmc=plastique_ocean&xtcr=546
129;https://www.lemonde.fr/cop21/article/2015/10/08/le-train-du-climat-sur-les-rails_4785636_4527432.html?xtmc=plastique_ocean&xtcr=206
130;https://www.lemonde.fr/archives/article/1968/11/01/question-de-morale_2487882_1819218.html?xtmc=plastique_ocean&xtcr=349
131;https://www.lemonde.fr/archives/article/1974/10/22/les-fidji-ou-le-bonheur-des-autres-i-un-jour-londres-eut-besoin-de-sucre_3092028_1819218.html?xtmc=plastique_ocean&xtcr=496
132;https://www.lemonde.fr/archives/article/1975/01/31/le-ballet-de-l-opera-au-palais-des-sports_2600757_1819218.html?xtmc=plastique_ocean&xtcr=167
133;https://www.lemonde.fr/archives/article/1979/03/05/le-jour-ou-il-n-y-aura-personne-dans-la-glace_2768301_1819218.html?xtmc=plastique_ocean&xtcr=251
134;https://www.lemonde.fr/m-actu/article/2015/07/17/road-trip-a-la-francaise-etape-1_4686638_4497186.html?xtmc=plastique_ocean&xtcr=509
135;https://www.lemonde.fr/archives/article/2002/01/08/operation-de-la-derniere-chance-pour-sauver-les-deux-derniers-arbres-pasner-de-rodrigues_257304_1819218.html?xtmc=plastique_ocean&xtcr=125
136;https://www.lemonde.fr/archives/article/1990/12/26/savary-visite-paris-french-cancan-et-comediens-survoltes-dans-une-vie-parisienne-d-offenbach-a-geneve_4014782_1819218.html?xtmc=plastique_ocean&xtcr=139
137;https://www.lemonde.fr/afrique/article/2018/07/15/de-grand-bassam-a-bouake-sur-les-traces-des-capitales-ivoiriennes_5331708_3212.html?xtmc=plastique_ocean&xtcr=537
138;https://www.lemonde.fr/archives/article/1964/10/14/les-trois-hommes-ont-vecu-dans-la-cabine-un-peu-comme-a-bord-d-un-bateau_2133773_1819218.html?xtmc=plastique_ocean&xtcr=165
139;https://www.lemonde.fr/planete/article/2012/04/25/thilafushi-la-bombe-toxique-des-maldives_1690931_3244.html?xtmc=plastique_ocean&xtcr=76
140;https://www.lemonde.fr/japon/article/2011/10/26/les-debris-du-tsunami-du-11-mars-approchent-d-hawai_1593816_1492975.html?xtmc=plastique_ocean&xtcr=85
